country,LocCode,time_period,dpt,measles,tetanus,co2_metric_tons_per_capita,sf6_metric_tons,nitrous_oxide_metric_tons,hfc_metric_tons,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",life_expectancy_total,life_expectancy_female,life_expectancy_male,alcohol,tobacco,working_hours,bmi_over30,pm2_5,polio,bcg,hepb
Spain,ESP,2002,98,97,0,7.54859375551361,0,23010,0,0,79.5682926829268,83,76.3,10.41 ,0.0,1718.0,18.2 ,0,0.0,0.0,82.0
Sweden,SWE,2002,99,95,0,6.05268959896099,0,5510,0,0,79.8463414634146,82.1,77.7,6.88 ,0.0,1443.66342756516,14.4 ,0,0.0,16.0,0.0
Switzerland,CHE,2002,93,82,0,5.98098517476491,0,2480,0,0,80.3853658536585,83.1,77.8,10.85 ,0.0,1651.3,13.3 ,0,0.0,0.0,0.0
Turkiye,TUR,2002,78,83,52,3.15372355112502,0,24310,0,0,72.579,75.944,69.318,0,0.0,0.0,0,0,0.0,0.0,0.0
United Kingdom,GBR,2002,91,85,0,8.94030142534885,0,32630,0,0,78.1439024390244,80.5,75.9,0,0.0,1505.95246844171,0,0,0.0,0.0,0.0
Albania,ALB,2003,97,93,81,1.3389849808862,0,1300,0,0,76.142,79.057,73.499,4.33 ,0.0,0.0,13.2 ,0,0.0,95.0,97.0
Austria,AUT,2003,84,79,0,9.16834390776994,0,4480,0,0,78.6317073170732,81.5,75.9,12.31 ,0.0,1523.0,14.4 ,0,0.0,0.0,83.0
Belgium,BEL,2003,95,82,0,11.1313145272907,0,7200,0,0,78.1292682926829,81.1,75.3,11.28 ,0.0,1469.0,17.5 ,0,0.0,0.0,64.0
Bulgaria,BGR,2003,96,96,0,6.16437100396881,0,4440,0,0,72.0658536585366,75.6,68.7,10.92 ,0.0,0.0,18.5 ,0,0.0,98.0,96.0
Croatia,HRV,2003,94,94,0,5.02161212807634,0,2300,0,0,74.6139024390244,78.23,71.17,12.99 ,0.0,0.0,17.1 ,0,0.0,98.0,0.0
Cyprus,CYP,2003,98,86,0,7.82726038257215,0,400,0,0,77.788,79.992,75.621,10.62 ,0.0,0.0,16.3 ,0,0.0,0.0,88.0
Czechia,CZE,2003,97,97,0,12.0433608720608,0,4980,0,0,75.1707317073171,78.5,72,13.87 ,0.0,0.0,20.6 ,0,0.0,98.0,92.0
Denmark,DNK,2003,96,96,0,10.9876980711583,0,6250,0,0,77.1439024390244,79.5,74.9,11.53 ,0.0,1413.02433157771,13.9 ,0,0.0,0.0,0.0
Estonia,EST,2003,94,95,0,12.3584689316984,0,1230,0,0,71.3170731707317,76.9,66,11.64 ,0.0,1850.0,15.3 ,0,0.0,99.0,0.0
Finland,FIN,2003,98,97,0,13.7559575102758,0,6070,0,0,78.3682926829268,81.8,75.1,9.31 ,0.0,1552.0,17 ,0,0.0,98.0,0.0
France,FRA,2003,97,87,0,6.05088862267274,0,47220,0,0,79.1146341463415,82.7,75.7,13.45 ,0.0,1402.15501889962,16.1 ,0,0.0,84.0,28.0
Germany,DEU,2003,97,95,0,10.1387088183608,0,44900,0,0,78.3804878048781,81.3,75.6,11.92 ,0.0,1359.16414551463,16.6 ,0,0.0,0.0,90.0
Greece,GRC,2003,94,94,0,9.17087840951815,0,6190,0,0,78.8414634146341,81.3,76.5,8.91 ,0.0,1758.97671246394,17.4 ,0,0.0,0.0,92.0
Hungary,HUN,2003,99,99,0,5.74457770952842,0,6280,0,0,72.3,76.5,68.3,13.24 ,0.0,1736.53985838608,20.4 ,0,0.0,99.0,0.0
Iceland,ISL,2003,97,93,0,7.70237744092308,0,360,0,0,80.9634146341464,82.5,79.5,6.52 ,0.0,1639.0,16.4 ,0,0.0,0.0,0.0
Ireland,IRL,2003,86,78,0,11.0320952029497,0,10070,0,0,78.1390243902439,80.7,75.7,13.04 ,0.0,1828.0158929739,17 ,0,0.0,90.0,0.0
Italy,ITA,2003,96,84,0,8.06445963606381,0,25690,0,0,79.9829268292683,82.8,77.3,9.3 ,0.0,1815.1,15.1 ,0,0.0,0.0,95.0
Latvia,LVA,2003,98,98,0,3.31737300453369,0,1460,0,0,71.2658536585366,76.9,65.9,8.24 ,0.0,1816.79939366216,16.1 ,0,0.0,97.0,98.0
Lithuania,LTU,2003,94,98,0,3.28822815509203,0,5090,0,0,72.0609756097561,77.9,66.5,11.29 ,0.0,1594.81370851384,18.4 ,0,0.0,99.0,95.0
Luxembourg,LUX,2003,98,95,0,22.6734268563165,0,350,0,0,77.7268292682927,80.8,74.8,12.52 ,0.0,1584.93087000926,16.6 ,0,0.0,0.0,95.0
